credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year,six_month_interval_label
790,2020-03-01,1,P,20-<30,225000,3.5,14400,P,360,0,,78.288,105.0,5,1,25-34,3533284,0,0,1
730,2020-03-01,1,P,30-<36,235000,3.75,12800,P,360,0,,95.0,112.0,5,1,25-34,4517094,0,0,1
801,2020-03-01,1,P,<20,225000,3.875,33500,P,360,0,,58.449,220.0,5,1,55-64,3751145,0,0,1
771,2020-03-01,1,S,30-<36,275000,3.75,32100,P,360,0,,57.895,121.0,5,1,55-64,1233561,0,0,1
800,2020-03-01,1,P,46,55000,3.75,33000,P,360,0,,34.483,37.0,5,2,55-64,4220449,0,0,1
713,2020-03-01,1,P,30-<36,205000,3.875,76100,P,360,0,,97.0,54.0,5,1,25-34,2411125,0,0,1
799,2020-03-01,1,P,38,435000,3.75,75000,P,360,0,,95.0,121.0,5,2,35-44,2770173,0,0,1
797,2020-03-01,1,P,30-<36,235000,3.75,76000,R,360,0,,52.528,68.0,5,2,35-44,3241934,0,0,1
797,2020-03-01,1,P,49,275000,3.75,33000,P,360,0,,92.691,45.0,3,1,35-44,3369359,0,0,1
815,2020-03-01,1,P,20-<30,145000,3.875,75400,R,360,0,,40.997,52.0,5,1,45-54,3628520,0,0,1
673,2020-03-01,1,P,30-<36,145000,3.375,77400,R,180,0,,48.0,68.0,5,2,25-34,1002783,0,0,1
686,2020-03-01,1,P,44,535000,4.25,91300,R,360,0,,78.309,130.0,6,2,25-34,4779425,0,0,1
736,2020-03-01,1,P,41,365000,3.625,96000,P,360,0,,100.0,74.0,5,1,65-74,3469234,0,0,1
808,2020-03-01,1,P,20-<30,145000,3.75,33600,R,360,0,,48.67,174.0,5,2,35-44,1465492,0,0,1
812,2020-03-01,1,P,20-<30,195000,3.75,92300,R,360,0,,78.331,75.0,5,1,55-64,4735016,0,0,1
801,2020-04-01,1,P,20-<30,195000,3.75,92300,R,360,0,,78.331,75.0,5,1,55-64,4735016,0,0,1
714,2020-03-01,1,P,48,345000,4.25,76000,P,360,0,,96.5,68.0,3,2,25-34,1467849,0,0,1
728,2020-03-01,1,P,49,535000,4.125,92000,P,360,0,,93.333,101.0,6,1,45-54,3251717,0,0,1
766,2020-03-01,1,P,37,215000,4.25,34200,P,360,0,,97.0,100.0,5,2,25-34,4707088,0,0,1
725,2020-03-01,1,P,43,255000,3.625,11700,P,360,0,,75.0,64.0,5,1,25-34,3104992,0,0,1
664,2020-03-01,1,P,49,435000,3.875,94500,R,360,1,2020-06-01,77.59,84.0,3,2,35-44,137067,1,1,1
