credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
791,2020-03-01,1,P,20-<30,65000,4.25,14900,P,360,0,,1,96.99,32.0,5,2,45-54,4074341,0,0
796,2020-04-01,1,P,20-<30,55000,3.75,14800,P,360,0,,1,56.73,47.0,5,1,25-34,4074686,0,0
724,2020-03-01,1,P,39,95000,3.75,12700,R,360,0,,1,,73.0,5,1,65-74,283638,0,0
627,2020-03-01,1,P,36,235000,3.5,76000,R,180,0,,1,80.0,102.0,5,1,25-34,7876308,0,0
776,2020-04-01,1,S,42,245000,3.25,34400,P,180,0,,1,66.216,205.0,6,1,45-54,6537606,0,0
751,2020-03-01,2,P,30-<36,505000,3.8,11500,P,360,1,2020-06-01,1,80.0,157.0,2,1,35-44,3443301,1,1
730,2020-03-01,1,P,30-<36,235000,3.75,12800,P,360,0,,1,89.5,102.0,5,2,65-74,6322501,0,0
792,2020-03-01,1,S,20-<30,275000,3.875,78400,P,360,0,,1,90.0,311.0,5,1,55-64,4341422,0,0
773,2020-03-01,1,P,38,75000,3.875,75000,R,360,0,,1,42.98,47.0,5,2,55-64,2595584,0,0
780,2020-02-01,1,S,30-<36,275000,3.875,34100,R,360,0,,1,90.0,104.0,5,1,55-64,1040185,0,0
743,2020-03-01,1,P,30-<36,195000,3.75,13400,P,360,0,,1,80.0,92.0,5,1,25-34,2731000,0,0
705,2020-03-01,1,P,30-<36,375000,3.0,78600,P,180,0,,1,80.0,141.0,6,1,35-44,1396659,0,0
801,2020-03-01,3,I,<20,285000,4.25,14200,P,360,0,,1,75.0,619.0,5,1,>74,7322815,0,0
798,2020-03-01,1,S,20-<30,275000,3.99,33300,P,360,0,,1,90.0,113.0,5,2,55-64,1037227,0,0
811,2020-03-01,1,P,<20,275000,2.75,75700,P,180,0,,1,50.0,300.0,5,2,45-54,5639020,0,0
783,2020-03-01,1,P,30-<36,275000,2.875,33300,P,180,0,,1,53.0,123.0,6,1,45-54,5637054,0,0
768,2020-03-01,1,P,43,475000,3.75,10400,P,360,0,,1,95.0,115.0,5,1,25-34,5633675,0,0
714,2020-03-01,1,S,45,295000,4.125,91300,P,360,1,2020-07-01,1,64.13,62.0,5,2,45-54,2989185,1,1
771,2020-03-01,1,S,30-<36,275000,3.75,32100,P,360,0,,1,78.57,246.0,5,1,45-54,150927,0,0
800,2020-03-01,1,P,46,55000,3.75,33000,P,360,0,,1,52.88,17.0,6,2,>74,169780,0,0
750,2020-03-01,1,P,45,135000,3.99,32600,P,360,0,,1,90.0,137.0,6,2,25-34,5644118,0,0
726,2020-03-01,1,P,<20,235000,3.75,94600,P,120,0,,1,31.973,269.0,2,1,<25,1037706,0,0
750,2020-03-01,1,I,30-<36,135000,4.25,77300,P,360,0,,1,75.0,211.0,3,1,35-44,3528873,0,0
714,2020-03-01,1,P,40,65000,4.25,95000,R,360,0,,1,6.842,17.0,5,2,35-44,2595657,0,0
